Word,Subtest,CorrectResp
kake,Olsen,1
plog,Olsen,0
deace,Olsen,0
gairubteigh,Hart,0
warld,Olsen,0
fite,Olsen,1
thair,Olsen,1
oquerd,Hart,1
keitreeot,Hart,0
jope,Olsen,0
feefail,Hart,0
fether,Olsen,1
mijen,Hart,0
thrue,Olsen,1
joak,Olsen,1
thurd,Olsen,1
neintoon,Hart,0
dak,Olsen,0
grafight,Hart,1
fither,Olsen,0
tirn,Olsen,1
colesture,Hart,0
skwolb,Hart,0
hoate,Olsen,0
kwartet,Hart,1
eer,Olsen,1
theer,Olsen,0
plaice,Olsen,1
lote,Olsen,0
kalone,Hart,1
teech,Olsen,1
widome,Hart,0
derty,Olsen,1
plice,Olsen,0
jimpozyum,Hart,0
muroseize,Hart,0
urthkwaik,Hart,1
broave,Olsen,0
flote,Olsen,1
strate,Olsen,1
shart,Olsen,0
timnastix,Hart,0
nerr,Olsen,0
seaf,Olsen,0
amiture,Hart,1
anteik,Hart,1
roak,Olsen,0
ploor,Olsen,0
cliss,Olsen,0
ulsir,Hart,1
heetir,Hart,1
herowique,Hart,1
turt,Olsen,0
puteightore,Hart,0
vazhyoual,Hart,0
trane,Olsen,1
eckseed,Hart,1
bloe,Olsen,1
spighn,Hart,1
speschelist,Hart,1
trastor,Olsen,0
horl,Olsen,0
craul,Olsen,1
edepust,Hart,0
shatcheure,Hart,0
phrantcheyes,Hart,1
quaynt,Hart,1
filce,Olsen,0
fearce,Olsen,1
baik,Olsen,1
crail,Olsen,0
dofter,Olsen,0
eap,Olsen,0
phoarbarense,Hart,1
konseed,Hart,1
gaim,Olsen,1
pebl,Hart,1
threp,Olsen,0
aknoleque,Hart,0
matcheune,Hart,0
fairce,Olsen,0
saip,Olsen,0
saif,Olsen,1
skwyde,Hart,0
daighbyou,Hart,1
beal,Olsen,0
bote,Olsen,1
baionette,Hart,1
skwees,Hart,1
reash,Olsen,0
typoal,Hart,0
thord,Olsen,0
jadwarr,Hart,0
ohoodeoh,Hart,0
ferst,Olsen,1
bape,Olsen,0
viknaime,Hart,0
werld,Olsen,1
traif,Olsen,0
youroveu,Hart,0
indiseeze,Hart,1
poantil,Hart,0
boaf,Olsen,0
caim,Olsen,1
kinzeanyal,Hart,0
kard,Olsen,1
lait,Olsen,1
onsahmbel,Hart,1
floar,Olsen,1
shaip,Olsen,1
seet,Olsen,1
broun,Olsen,1
afe,Olsen,0
neech,Olsen,0
balit,Hart,1
strale,Olsen,0
bair,Olsen,1
carn,Olsen,0
rakk,Olsen,1
broan,Olsen,0
slotayshin,Hart,0
exkspedeinter,Hart,0
foap,Olsen,0
mistenk,Hart,0
gome,Olsen,0
peece,Olsen,1
nowairt,Hart,0
dorty,Olsen,0
klass,Olsen,1
fead,Olsen,1
fense,Olsen,1
meave,Olsen,0
reech,Olsen,1
docter,Olsen,1
meer,Olsen,1
bodvill,Hart,0
hawl,Olsen,1
seashilly,Hart,0
firoh,Hart,1
urb,Hart,1
serkyouler,Hart,1
muhsheene,Hart,1
howceholed,Hart,1
stuckottee,Hart,0
ait,Olsen,1
thurtone,Hart,0
leeve,Olsen,1
tracter,Olsen,1
klorrty,Hart,0
feem,Olsen,0
moatev,Hart,1
shate,Olsen,0
naim,Olsen,1
udderents,Hart,1
nade,Olsen,0
fipe,Olsen,0
braive,Olsen,1
crysieze,Hart,1
filst,Olsen,0
pame,Olsen,0
hoap,Olsen,1
rondeyvoo,Hart,1
dufay,Hart,0
anekkdoat,Hart,1
gudnice,Hart,1
shurt,Olsen,1
futeeg,Hart,1
voastij,Hart,0
